codice;prezzo_eur_iva_esclusa;stato;origine;categoria;prodotto;variante;note
AN03-016;3,28;prezzo_definitivo;NETTUNO Price List 2025.pdf p.29;tappezzeria;Bottoni, funghetti e tornichetti;AN03-016 - CODICE · CODE  CODICE · CODE  CODICE · CODE Ø  3,9 mm CODICE · CODE Ø A |  19 mm B |  12 m;
AN03-017;5,90;prezzo_definitivo;NETTUNO Price List 2025.pdf p.29;tappezzeria;Bottoni, funghetti e tornichetti;AN03-017 - CODICE · CODE  CODICE · CODE  CODICE · CODE  BOTTONI, FUNGHETTI E TORNICHETTI SNAP FASTNER;
AN03-018;4,59;prezzo_definitivo;NETTUNO Price List 2025.pdf p.29;tappezzeria;Bottoni, funghetti e tornichetti;AN03-018 - CODICE · CODE  BOTTONI, FUNGHETTI E TORNICHETTI SNAP FASTNERS, BUTTONS, TURN BUTTONS;
AN03-019;4,02;prezzo_definitivo;NETTUNO Price List 2025.pdf p.29;tappezzeria;Bottoni, funghetti e tornichetti;AN03-019 - CODICE · CODE  CODICE · CODE  BOTTONI, FUNGHETTI E TORNICHETTI SNAP FASTNERS, BUTTONS, TUR;
AN03-020;16,72;prezzo_definitivo;NETTUNO Price List 2025.pdf p.29;tappezzeria;Bottoni, funghetti e tornichetti;AN03-020 - Bottoni, funghetti e tornichetti;
AN03-021;16,72;prezzo_definitivo;NETTUNO Price List 2025.pdf p.29;tappezzeria;Bottoni, funghetti e tornichetti;AN03-021 - Bottoni, funghetti e tornichetti;
AN03-023;8,32;prezzo_definitivo;NETTUNO Price List 2025.pdf p.29;tappezzeria;Bottoni, funghetti e tornichetti;AN03-023 - CODICE · CODE Ø  3,9 mm CODICE · CODE Ø A |  19 mm B |  12 mm CODICE · CODE VL  40  60 A;
AN04-001;;rimandato;;tappezzeria;Cerniere lampo YKK;AN04-001 - CODICE · CODE  CURSORE IN PLASTICA Per cerniera lampo a spirale YKK catena continua 5mm. P;Sezione Telai/Tubi/Tappezzeria da sistemare piu avanti.
AN04-002;;rimandato;;tappezzeria;Cerniere lampo YKK;AN04-002 - CODICE · CODE      CODICE · CODE      CODICE · CODE;Sezione Telai/Tubi/Tappezzeria da sistemare piu avanti.
AN04-003;;rimandato;;tappezzeria;Cerniere lampo YKK;AN04-003 - CODICE · CODE      CODICE · CODE;Sezione Telai/Tubi/Tappezzeria da sistemare piu avanti.
AN04-004;;rimandato;;tappezzeria;Cerniere lampo YKK;AN04-004 - CODICE · CODE      CODICE · CODE      CODI;Sezione Telai/Tubi/Tappezzeria da sistemare piu avanti.
AN04-005;;rimandato;;tappezzeria;Cerniere lampo YKK;AN04-005 - CODICE · CODE      CODICE · CODE      CODICE · CODE  CODICE ·;Sezione Telai/Tubi/Tappezzeria da sistemare piu avanti.
AN04-006;;rimandato;;tappezzeria;Cerniere lampo YKK;AN04-006 - CODICE · CODE      CODICE · CODE      CODICE · CODE;Sezione Telai/Tubi/Tappezzeria da sistemare piu avanti.
AN04-007;;rimandato;;tappezzeria;Cerniere lampo YKK;AN04-007 - CODICE · CODE      CODICE · CODE      CODICE · CODE;Sezione Telai/Tubi/Tappezzeria da sistemare piu avanti.
AN04-008;;rimandato;;tappezzeria;Cerniere lampo YKK;AN04-008 - CODICE · CODE      CODICE · CODE     AN0;Sezione Telai/Tubi/Tappezzeria da sistemare piu avanti.
AN04-009;;rimandato;;tappezzeria;Cerniere lampo YKK;AN04-009 - CODICE · CODE      CODICE · CODE      COD;Sezione Telai/Tubi/Tappezzeria da sistemare piu avanti.
AN04-010;;rimandato;;tappezzeria;Cerniere lampo YKK;AN04-010 - CODICE · CODE      CODICE · CODE      CODICE · CODE;Sezione Telai/Tubi/Tappezzeria da sistemare piu avanti.
AN04-011;;rimandato;;tappezzeria;Cerniere lampo YKK;AN04-011 - TAL SLILDER For continuous die-cast YKK zipper chain 8mm. CODICE · CODE      CODICE · CODE;Sezione Telai/Tubi/Tappezzeria da sistemare piu avanti.
AN04-012;4,92;prezzo_definitivo;NETTUNO Price List 2025.pdf p.32;tappezzeria;Cerniere lampo YKK;AN04-012 - CODICE · CODE      CODICE · CODE  CODICE · CODE  CURSORE IN PLASTICA Per cerniera la;
AN04-013;4,92;prezzo_definitivo;NETTUNO Price List 2025.pdf p.32;tappezzeria;Cerniere lampo YKK;AN04-013 - CODICE · CODE      CODICE · CODE  CODICE · CODE  CURSORE;
AN04-014;4,92;prezzo_definitivo;NETTUNO Price List 2025.pdf p.32;tappezzeria;Cerniere lampo YKK;AN04-014 - CODICE · CODE      CODICE · CODE  CODICE · CODE  CURSORE IN PLASTI;
AN04-015;4,92;prezzo_definitivo;NETTUNO Price List 2025.pdf p.32;tappezzeria;Cerniere lampo YKK;AN04-015 - CODICE · CODE      CODICE · CODE  CODICE · CODE  CURSORE IN PLASTICA Per cerniera lampo a;
AN04-016;4,92;prezzo_definitivo;NETTUNO Price List 2025.pdf p.32;tappezzeria;Cerniere lampo YKK;AN04-016 - CODICE · CODE      CODICE · CODE  CODICE · CODE  CURSORE IN PLASTICA Per ce;
AN04-017;3,12;prezzo_definitivo;NETTUNO Price List 2025.pdf p.32;tappezzeria;Cerniere lampo YKK;AN04-017 - CURSORE IN PLASTICA Per cerniera lampo a spirale YKK catena continua 5mm. PLASTIC SLIDER f;
AN04-018;3,28;prezzo_definitivo;NETTUNO Price List 2025.pdf p.33;tappezzeria;Cerniere lampo YKK;AN04-018 - CODICE · CODE  CODICE · CODE  CURSORE IN PLASTICA Per cerniera lampo a spirale YKK catena;
AN04-019;3,28;prezzo_definitivo;NETTUNO Price List 2025.pdf p.33;tappezzeria;Cerniere lampo YKK;AN04-019 - CODICE · CODE  CODICE · CODE  CURSORE IN PLASTICA Per cerniera lampo a spirale YKK cat;
AN04-020;3,28;prezzo_definitivo;NETTUNO Price List 2025.pdf p.33;tappezzeria;Cerniere lampo YKK;AN04-020 - CODICE · CODE  CODICE · CODE  CURSORE IN PLASTICA Per cerniera lampo a spirale YKK cate;
AN04-021;3,28;prezzo_definitivo;NETTUNO Price List 2025.pdf p.33;tappezzeria;Cerniere lampo YKK;AN04-021 - CODICE · CODE  CODICE · CODE  CURSORE IN PLASTICA Per cerniera lampo a spirale YKK catena;
AN04-022;3,28;prezzo_definitivo;NETTUNO Price List 2025.pdf p.33;tappezzeria;Cerniere lampo YKK;AN04-022 - CODICE · CODE  CODICE · CODE  CURSORE IN PLASTICA Per cerniera lampo a spirale YKK caten;
AN04-023;0,90;prezzo_definitivo;NETTUNO Price List 2025.pdf p.33;tappezzeria;Cerniere lampo YKK;AN04-023 - YKK ZIPPERS CERNIERE LAMPO YKK;
AN05-001;0,57;prezzo_definitivo;NETTUNO Price List 2025.pdf p.30;tappezzeria;Fibbie e ponticelli;AN05-001 - 30 CODICE · CODE MM  25 CODICE · CODE MM  30 CODICE · CODE MM  30 CODICE · CODE Ø  18 mm;
AN05-002;1,48;prezzo_definitivo;NETTUNO Price List 2025.pdf p.30;tappezzeria;Fibbie e ponticelli;AN05-002 - CODICE · CODE  ANELLO A D In acciaio inox AISI 316. Passaggio 30mm. D RING AISI 316 Polish;
AN05-003;1,07;prezzo_definitivo;NETTUNO Price List 2025.pdf p.30;tappezzeria;Fibbie e ponticelli;AN05-003 - 25 CODICE · CODE MM  30 CODICE · CODE MM  30 CODICE · CODE Ø  18 mm;
AN05-004;1,89;prezzo_definitivo;NETTUNO Price List 2025.pdf p.30;tappezzeria;Fibbie e ponticelli;AN05-004 - 30 CODICE · CODE Ø  18 mm;
AN05-005;0,98;prezzo_definitivo;NETTUNO Price List 2025.pdf p.30;tappezzeria;Fibbie e ponticelli;AN05-005 - CODICE · CODE MM  25  40  50 CODICE · CODE MM  40  50 CODICE · CODE MM  5  6 BUCKLES AND;
AN05-006;0,41;prezzo_definitivo;NETTUNO Price List 2025.pdf p.30;tappezzeria;Fibbie e ponticelli;AN05-006 - CODICE · CODE   FIBBIA A DOPPIA LUCE In acciaio inox AISI 304. Passaggio 25mm. DOUBLE WAY;
AN05-007;0,41;prezzo_definitivo;NETTUNO Price List 2025.pdf p.30;tappezzeria;Fibbie e ponticelli;AN05-007 - CODICE · CODE   FIBBIA A DOPPIA LUCE In acciaio inox AISI 304. Passaggio 25mm. DOUBLE WAY;
AN05-008;5,74;prezzo_definitivo;NETTUNO Price List 2025.pdf p.30;tappezzeria;Fibbie e ponticelli;AN05-008 - CODICE · CODE  CODICE · CODE   CODICE · CODE   FIBBIA A DOPPIA LUCE In acciaio inox AISI 3;
AN05-009;0,16;prezzo_definitivo;NETTUNO Price List 2025.pdf p.30;tappezzeria;Fibbie e ponticelli;AN05-009 - FIBBIA A DOPPIA LUCE In acciaio inox AISI 304. Passaggio 25mm. DOUBLE WAY STRAP LATCH AIS;
AN05-01;;rimandato;;tappezzeria;Fibbie e ponticelli;AN05-01 - 1  CODICE · CODE  CODICE · CODE  CODICE · CODE   CODICE · CODE   FIBBIA A DOPPIA LUCE In a;Sezione Telai/Tubi/Tappezzeria da sistemare piu avanti.
AN05-010;0,16;prezzo_definitivo;NETTUNO Price List 2025.pdf p.30;tappezzeria;Fibbie e ponticelli;AN05-010 - FIBBIA A DOPPIA LUCE In acciaio inox AISI 304. Passaggio 25mm. DOUBLE WAY STRAP LATCH AISI;
AN05-012;0,74;prezzo_definitivo;NETTUNO Price List 2025.pdf p.30;tappezzeria;Fibbie e ponticelli;AN05-012 - CODICE · CODE  CODICE · CODE  CODICE · CODE   CODICE · CODE   FIBBIA A DOPPIA LUCE In acci;
AN05-013;3,44;prezzo_definitivo;NETTUNO Price List 2025.pdf p.30;tappezzeria;Fibbie e ponticelli;AN05-013 - ANELLO A D In acciaio inox AISI 316. Passaggio 30mm. D RING AISI 316 Polished stainless st;
AN05-014;0,98;prezzo_definitivo;NETTUNO Price List 2025.pdf p.30;tappezzeria;Fibbie e ponticelli;AN05-014 - CODICE · CODE  CODICE · CODE  ANELLO A D In acciaio inox AISI 316. Passaggio 30mm. D RING;
AN05-015;1,97;prezzo_definitivo;NETTUNO Price List 2025.pdf p.30;tappezzeria;Fibbie e ponticelli;AN05-015 - 18 mm;
AN05-016-5;0,20;prezzo_definitivo;NETTUNO Price List 2025.pdf p.30;tappezzeria;Fibbie e ponticelli;AN05-016-5 - 5  6 BUCKLES AND LACING EYES FIBBIE E PONTICELLI;
AN05-016-6;0,24;prezzo_definitivo;NETTUNO Price List 2025.pdf p.30;tappezzeria;Fibbie e ponticelli;AN05-016-6 - 6 BUCKLES AND LACING EYES FIBBIE E PONTICELLI;
AN05-017;12,05;prezzo_definitivo;NETTUNO Price List 2025.pdf p.30;tappezzeria;Fibbie e ponticelli;AN05-017 - 30 CODICE · CODE MM  30 CODICE · CODE MM  25 CODICE · CODE MM  30 CODICE · CODE MM  30 COD;
AN05-018;1,64;prezzo_definitivo;NETTUNO Price List 2025.pdf p.30;tappezzeria;Fibbie e ponticelli;AN05-018 - 30 CODICE · CODE MM  30 CODICE · CODE Ø  18 mm;
AN05-019;2,30;prezzo_definitivo;NETTUNO Price List 2025.pdf p.30;tappezzeria;Fibbie e ponticelli;AN05-019 - 40  50 CODICE · CODE MM  5  6 BUCKLES AND LACING EYES FIBBIE E PONTICELLI;
AN05-020;3,28;prezzo_definitivo;NETTUNO Price List 2025.pdf p.30;tappezzeria;Fibbie e ponticelli;AN05-020 - 50 CODICE · CODE MM  5  6 BUCKLES AND LACING EYES FIBBIE E PONTICELLI;
AN05-021;18,69;prezzo_definitivo;NETTUNO Price List 2025.pdf p.30;tappezzeria;Fibbie e ponticelli;AN05-021 - CODICE · CODE   CODICE · CODE   FIBBIA A DOPPIA LUCE In acciaio inox AISI 304. Passaggio 2;
AN05-022;2,87;prezzo_definitivo;NETTUNO Price List 2025.pdf p.30;tappezzeria;Fibbie e ponticelli;AN05-022 - 25  40  50 CODICE · CODE MM  40  50 CODICE · CODE MM  5  6 BUCKLES AND LACING EYES FIBBIE;
AN05-023;10,08;prezzo_definitivo;NETTUNO Price List 2025.pdf p.30;tappezzeria;Fibbie e ponticelli;AN05-023 - 40  50 CODICE · CODE MM  40  50 CODICE · CODE MM  5  6 BUCKLES AND LACING EYES FIBBIE E PO;
AN05-024;10,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.30;tappezzeria;Fibbie e ponticelli;AN05-024 - 50 CODICE · CODE MM  40  50 CODICE · CODE MM  5  6 BUCKLES AND LACING EYES FIBBIE E PONTIC;
AN07-001;3,69;prezzo_definitivo;NETTUNO Price List 2025.pdf p.33;tappezzeria;Binari, prese aria e supporti teloni;AN07-001 - CODICE · CODE Ø  10 mm CODICE · CODE Ø  7,8 mm CODICE · CODE CM  75/120  90/160 CODICE · C;
AN07-002;14,18;prezzo_definitivo;NETTUNO Price List 2025.pdf p.33;tappezzeria;Binari, prese aria e supporti teloni;AN07-002 - 10 mm CODICE · CODE Ø  7,8 mm CODICE · CODE CM  75/120  90/160 CODICE · CODE Ø  7 mm  8 mm;
AN07-003;5,66;prezzo_definitivo;NETTUNO Price List 2025.pdf p.33;tappezzeria;Binari, prese aria e supporti teloni;AN07-003 - CODICE · CODE  BINARI, PRESE D’ARIA, SUPPORTI TELONI RAILS, VENTS AND COVERS SUPPORTS;
AN07-004-A;44,59;prezzo_definitivo;NETTUNO Price List 2025.pdf p.33;tappezzeria;Binari, prese aria e supporti teloni;AN07-004-A - 75/120  90/160 CODICE · CODE Ø  7 mm  8 mm CODICE · CODE  CODICE · CODE  BINARI, PRESE D’A;
AN07-004-B;49,67;prezzo_definitivo;NETTUNO Price List 2025.pdf p.33;tappezzeria;Binari, prese aria e supporti teloni;AN07-004-B - 90/160 CODICE · CODE Ø  7 mm  8 mm CODICE · CODE  CODICE · CODE  BINARI, PRESE D’ARIA, SUP;
